frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
102,46,[213.00 166.00 466.00 434.00],[163.04 398.60 229.71 429.64],0.0,IPEI,0.5766540169715881
102,50,[-2.60 252.80 120.20 350.60],,,,
102,53,[721.80 276.40 834.20 410.80],,,,
103,46,[213.00 166.00 466.00 434.00],[145.38 403.42 213.43 435.80],0.0,IPEI,0.5766540169715881
103,50,[-8.60 252.00 107.60 352.80],,,,
103,53,[727.00 277.80 834.20 410.80],,,,
104,46,[213.00 166.00 466.00 434.00],[127.72 408.23 197.15 441.95],0.0,IPEI,0.5766540169715881
104,50,[-11.25 252.00 101.50 354.50],,,,
104,53,[730.20 276.80 828.80 409.00],,,,
104,54,[560.00 340.00 615.00 449.20],,,,
105,46,[213.00 166.00 466.00 434.00],[110.06 413.05 180.88 448.11],0.0,IPEI,0.5766540169715881
105,50,[-13.33 251.67 94.67 355.33],,,,
105,53,[731.40 274.00 822.00 405.00],,,,
105,54,[567.60 342.60 622.80 452.40],,,,
106,46,[171.20 153.40 453.60 450.60],[92.40 417.87 164.60 454.26],0.0,IPEI,0.5766540169715881
106,54,[574.80 343.60 631.60 455.60],,,,
107,46,[160.75 150.25 450.50 454.75],[74.73 422.69 148.33 460.42],0.0,IPEI,0.5766540169715881
107,54,[575.20 343.00 633.20 456.80],,,,
108,46,[143.33 145.00 445.33 461.67],"[57.073482513427734, 427.5030517578125, 132.05245971679688, 466.5726623535156]",0.6863078474998474,IPEI,0.5388777852058411
108,54,[575.50 343.50 634.00 457.75],,,,
109,54,[575.33 344.00 634.00 458.33],,,,
111,53,[730.20 270.80 813.20 401.20],,,,
112,53,[727.20 266.00 802.80 394.20],,,,
113,53,[723.20 259.80 791.20 384.40],,,,
114,53,[721.00 257.25 787.25 380.00],,,,
115,53,[718.67 255.33 783.00 376.33],,,,
116,62,[-2.67 558.33 183.00 712.67],,,,
117,56,[340.00 252.00 520.00 408.33],"[398.3372917175293, 316.3333740234375, 455.42493438720703, 335.0235061645508]",0.6669697761535645,230152,0.622494637966156
117,62,[-2.50 557.75 182.75 714.00],,,,
118,56,[341.50 252.25 520.75 408.00],[391.44 317.01 450.63 336.41],0.0,KA01MJ0152,0.950167179107666
119,56,[336.00 251.40 518.40 409.60],"[384.5353012084961, 317.6949234008789, 445.8313674926758, 337.78721618652344]",0.5920618772506714,230152,0.5086541175842285
120,56,[336.00 251.40 518.40 409.60],[379.24 318.23 441.49 339.15],0.0,KA01MJ0152,0.950167179107666
