frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
82,51,"[55, 284, 112, 336]",,,,
82,38,"[243, 318, 351, 437]",,,,
82,10,"[687, 262, 839, 397]",,,,
82,2,"[564, 340, 696, 544]",,,,
83,56,"[372, 203, 532, 382]",,,,
83,38,"[227, 320, 339, 443]",,,,
83,10,"[686, 264, 838, 400]",,,,
83,2,"[562, 339, 697, 548]",,,,
84,56,"[362, 202, 526, 387]",,,,
84,38,"[207, 323, 324, 451]",,,,
84,34,"[104, 257, 242, 339]",,,,
84,10,"[685, 267, 838, 402]",,,,
84,2,"[559, 343, 697, 555]",,,,
85,56,"[351, 201, 520, 392]",,,,
85,38,"[185, 325, 310, 460]",,,,
85,34,"[90, 260, 229, 342]",,,,
85,10,"[684, 268, 837, 405]",,,,
85,2,"[559, 347, 699, 563]",,,,
86,56,"[339, 200, 515, 397]",,,,
86,38,"[164, 324, 295, 468]",,,,
86,34,"[76, 262, 214, 345]",,,,
86,10,"[685, 271, 837, 409]",,,,
86,2,"[558, 359, 699, 573]",,,,
87,61,"[252, 263, 328, 329]",,,,
87,56,"[328, 200, 510, 401]",,,,
87,38,"[144, 326, 282, 477]",,,,
87,34,"[64, 263, 202, 347]",,,,
87,10,"[684, 272, 836, 413]",,,,
87,2,"[562, 361, 701, 578]",,,,
88,62,"[533, 318, 601, 434]",,,,
88,56,"[316, 200, 505, 407]",,,,
88,38,"[123, 329, 266, 487]",,,,
88,34,"[52, 264, 190, 349]",,,,
88,10,"[683, 274, 835, 416]",,,,
88,2,"[563, 369, 701, 588]",,,,
89,63,"[828, 197, 1281, 484]","[1039.06689453125, 248.17694854736328, 1133.9066467285156, 298.11431884765625]",0.6474151015281677,NXONS,0.5764024257659912
89,56,"[304, 197, 500, 411]",,,,
89,55,"[578, 414, 687, 596]",,,,
89,38,"[99, 331, 250, 498]",,,,
89,34,"[39, 264, 176, 351]",,,,
89,10,"[683, 274, 834, 417]",,,,
89,2,"[559, 381, 699, 597]",,,,
90,63,"[802, 190, 1301, 543]",,,,
90,56,"[292, 193, 495, 413]",,,,
90,55,"[579, 415, 688, 598]",,,,
90,38,"[73, 332, 232, 506]",,,,
90,34,"[26, 262, 161, 351]",,,,
90,10,"[682, 274, 833, 417]",,,,
90,2,"[561, 371, 703, 595]",,,,
91,56,"[279, 189, 489, 416]",,,,
91,38,"[46, 329, 214, 514]",,,,
91,34,"[13, 262, 141, 351]",,,,
91,2,"[560, 367, 706, 598]",,,,
92,64,"[681, 268, 830, 416]",,,,
92,62,"[534, 317, 604, 439]",,,,
92,56,"[265, 185, 482, 418]",,,,
92,38,"[18, 333, 196, 525]",,,,
92,34,"[-1, 263, 117, 351]",,,,
92,2,"[564, 375, 709, 605]",,,,
93,64,"[681, 268, 829, 415]",,,,
93,62,"[533, 313, 604, 439]",,,,
93,56,"[252, 181, 477, 421]",,,,
93,38,"[1, 339, 182, 536]",,,,
93,34,"[-12, 263, 95, 350]",,,,
93,2,"[565, 392, 709, 612]",,,,
94,65,"[494, 271, 544, 368]",,,,
94,64,"[681, 266, 828, 412]",,,,
94,62,"[535, 321, 605, 444]",,,,
94,56,"[238, 176, 473, 424]",,,,
94,38,"[-7, 337, 171, 543]",,,,
95,65,"[491, 271, 546, 369]",,,,
95,64,"[685, 267, 829, 411]",,,,
95,62,"[536, 316, 604, 441]",,,,
95,56,"[225, 172, 469, 430]",,,,
95,38,"[-13, 355, 158, 558]",,,,
96,65,"[488, 270, 548, 371]",,,,
96,64,"[689, 267, 829, 411]",,,,
96,56,"[212, 167, 466, 434]","[268.3324966430664, 369.8196258544922, 326.60001373291016, 392.5096130371094]",0.5804572701454163,NEDIEI,0.5781621932983398
97,67,"[66, 280, 166, 346]",,,,
97,65,"[485, 270, 550, 373]",,,,
97,64,"[693, 267, 830, 410]",,,,
97,56,"[199, 162, 463, 437]",,,,
97,2,"[575, 382, 731, 616]",,,,
98,67,"[40, 260, 162, 344]",,,,
98,65,"[482, 270, 553, 375]",,,,
98,64,"[698, 268, 830, 411]",,,,
98,56,"[183, 158, 457, 444]",,,,
98,2,"[578, 381, 737, 620]",,,,
99,67,"[16, 253, 159, 350]",,,,
99,65,"[481, 270, 557, 377]",,,,
99,64,"[703, 269, 831, 411]",,,,
99,56,"[168, 155, 455, 450]",,,,
99,38,"[-23, 323, 98, 529]",,,,
99,2,"[582, 385, 740, 628]",,,,
100,67,"[-1, 251, 151, 357]",,,,
100,65,"[478, 273, 559, 379]",,,,
100,64,"[708, 270, 832, 412]",,,,
100,56,"[154, 149, 452, 452]","[213.3942413330078, 385.3223419189453, 279.6061248779297, 411.5802001953125]",0.451994925737381,NEDIEI,0.5636544823646545
100,2,"[585, 378, 745, 629]",,,,
101,67,"[-10, 249, 142, 360]",,,,
101,65,"[476, 273, 562, 380]",,,,
101,64,"[712, 271, 833, 413]",,,,
101,56,"[137, 146, 449, 462]",,,,
101,41,"[18, 593, 207, 720]",,,,
101,2,"[590, 389, 751, 639]",,,,
102,65,"[473, 272, 565, 381]",,,,
102,64,"[714, 271, 832, 413]",,,,
102,56,"[121, 141, 445, 470]",,,,
102,41,"[18, 592, 209, 720]",,,,
102,2,"[596, 405, 756, 648]",,,,
103,65,"[469, 271, 567, 382]",,,,
103,64,"[718, 271, 832, 413]",,,,
103,61,"[-12, 249, 105, 362]",,,,
103,56,"[103, 136, 439, 476]",,,,
103,2,"[598, 416, 759, 653]",,,,
104,65,"[466, 270, 570, 383]",,,,
104,64,"[722, 271, 832, 413]",,,,
104,61,"[-15, 248, 90, 361]",,,,
104,56,"[85, 129, 434, 480]",,,,
104,2,"[604, 421, 764, 657]",,,,
105,65,"[461, 269, 572, 387]",,,,
105,64,"[727, 272, 831, 413]",,,,
105,61,"[-19, 247, 73, 359]",,,,
105,56,"[64, 123, 428, 489]",,,,
105,2,"[606, 427, 765, 660]",,,,
106,65,"[456, 268, 573, 389]",,,,
106,64,"[731, 272, 830, 412]",,,,
106,56,"[41, 116, 419, 497]",,,,
106,2,"[609, 422, 769, 660]",,,,
107,75,"[574, 349, 639, 462]",,,,
107,65,"[451, 267, 574, 391]",,,,
107,64,"[730, 272, 825, 412]",,,,
107,56,"[17, 108, 410, 503]",,,,
107,2,"[612, 421, 772, 663]",,,,
108,75,"[573, 346, 641, 461]",,,,
108,65,"[443, 267, 573, 393]",,,,
108,64,"[731, 271, 822, 410]",,,,
108,56,"[4, 102, 407, 512]",,,,
108,2,"[612, 429, 772, 669]",,,,
109,75,"[571, 341, 642, 461]",,,,
109,65,"[435, 267, 571, 396]",,,,
109,64,"[731, 271, 817, 409]",,,,
109,56,"[-3, 94, 404, 520]",,,,
109,2,"[614, 429, 773, 670]",,,,
110,65,"[425, 267, 568, 399]",,,,
110,64,"[730, 270, 812, 407]",,,,
110,56,"[-9, 87, 400, 532]",,,,
110,2,"[612, 432, 771, 673]",,,,
111,65,"[414, 266, 563, 400]",,,,
111,64,"[728, 267, 805, 403]",,,,
111,56,"[-13, 77, 394, 542]",,,,
111,2,"[610, 433, 769, 674]",,,,
112,65,"[403, 263, 557, 400]","[447.6739807128906, 317.73729705810547, 498.11454010009766, 334.2793502807617]",0.5727460980415344,11,0.522079348564148
112,64,"[726, 266, 798, 401]",,,,
112,62,"[562, 333, 628, 459]","[569.7407822608948, 379.9529800415039, 600.2469253540039, 398.0210418701172]",0.41623133420944214,11,0.6434028148651123
